Aplicación,request,parámetro,valor,Generated entanglements,Mean fidel,Std fidel,Mean time,Std time,EPS
Capacity,request1,nodes$t1_mem_time,100.0,200,0.28,0.4501256106095643,499020.0,722.6417198559615,2000.0
Capacity,request1,nodes$t1_mem_time,1010200.0,200,0.635,0.48263826878156096,498995.0,753.5343856465734,2000.0
Capacity,request1,nodes$t1_mem_time,2020300.0,200,0.725,0.4476347667709811,499005.0,733.2552874565001,2000.0
Capacity,request1,nodes$t1_mem_time,3030400.0,200,0.75,0.43409931012992453,498880.0,698.5987410559978,2000.0
Capacity,request1,nodes$t1_mem_time,4040500.0,200,0.76,0.4281548585670527,498995.0,676.2109926144822,2000.0
Capacity,request1,nodes$t1_mem_time,5050600.0,200,0.785,0.41185326947578,498965.0,759.380202176279,2000.0
Capacity,request1,nodes$t1_mem_time,6060700.0,200,0.79,0.4083303421761706,499035.0,704.454598542046,2000.0
Capacity,request1,nodes$t1_mem_time,7070800.0,200,0.825,0.38092059869815764,499045.0,731.8833693503756,2000.0
Capacity,request1,nodes$t1_mem_time,8080900.0,200,0.8,0.40100376569366847,499035.0,697.2847554269015,2000.0
Capacity,request1,nodes$t1_mem_time,9091000.0,200,0.855,0.3529844046834771,498950.0,707.1067811865476,2000.0
Capacity,request1,nodes$t1_mem_time,10101100.0,200,0.885,0.3198225010233083,499070.0,705.3991350281715,2000.0
Capacity,request1,nodes$t1_mem_time,11111200.0,200,0.805,0.39719493840616527,499035.0,739.2614812692747,2000.0
Capacity,request1,nodes$t1_mem_time,12121300.0,200,0.875,0.3315488246330816,498950.0,699.9641053252078,2000.0
Capacity,request1,nodes$t1_mem_time,13131400.0,200,0.825,0.38092059869815764,498990.0,736.6227428790352,2000.0
Capacity,request1,nodes$t1_mem_time,14141500.0,200,0.85,0.3579674615346874,498950.0,741.7892263179664,2000.0
Capacity,request1,nodes$t1_mem_time,15151600.0,200,0.845,0.3628128523483501,499000.0,729.8378700663008,2000.0
Capacity,request1,nodes$t1_mem_time,16161700.0,200,0.855,0.3529844046834771,499005.0,683.601900077044,2000.0
Capacity,request1,nodes$t1_mem_time,17171800.0,200,0.845,0.3628128523483501,499010.0,694.4865425542419,2000.0
Capacity,request1,nodes$t1_mem_time,18181900.0,200,0.855,0.3529844046834771,499025.0,746.4320491646246,2000.0
Capacity,request1,nodes$t1_mem_time,19192000.0,200,0.86,0.34785776565376275,498990.0,694.4865425542419,2000.0
Capacity,request1,nodes$t1_mem_time,20202100.0,200,0.835,0.37211199481260626,498990.0,708.8103133430745,2000.0
Capacity,request1,nodes$t1_mem_time,21212200.0,200,0.795,0.4047146770865201,498960.0,663.7793421577512,2000.0
Capacity,request1,nodes$t1_mem_time,22222300.0,200,0.86,0.34785776565376275,498950.0,728.1145196800048,2000.0
Capacity,request1,nodes$t1_mem_time,23232400.0,200,0.88,0.3257769992899002,498920.0,718.4573087683171,2000.0
Capacity,request1,nodes$t1_mem_time,24242500.0,200,0.835,0.37211199481260626,498935.0,709.4303752211574,2000.0
Capacity,request1,nodes$t1_mem_time,25252600.0,200,0.88,0.3257769992899002,498940.0,677.2691247478239,2000.0
Capacity,request1,nodes$t1_mem_time,26262700.0,200,0.83,0.37657541771354475,498960.0,671.3071326387485,2000.0
Capacity,request1,nodes$t1_mem_time,27272800.0,200,0.805,0.39719493840616527,499040.0,678.7514402105824,2000.0
Capacity,request1,nodes$t1_mem_time,28282900.0,200,0.84,0.3675260220507143,498925.0,729.4074141927795,2000.0
Capacity,request1,nodes$t1_mem_time,29293000.0,200,0.83,0.3765754177135447,499015.0,676.0623503106334,2000.0
Capacity,request1,nodes$t1_mem_time,30303100.0,200,0.915,0.2795815250436421,499030.0,686.6274728207144,2000.0
Capacity,request1,nodes$t1_mem_time,31313200.0,200,0.85,0.3579674615346874,499015.0,739.9409184617853,2000.0
Capacity,request1,nodes$t1_mem_time,32323300.0,200,0.805,0.39719493840616527,498955.0,644.2439376946293,2000.0
Capacity,request1,nodes$t1_mem_time,33333400.0,200,0.855,0.3529844046834771,499000.0,736.6909581630522,2000.0
Capacity,request1,nodes$t1_mem_time,34343500.0,200,0.865,0.3425810984938109,498990.0,708.8103133430745,2000.0
Capacity,request1,nodes$t1_mem_time,35353600.0,200,0.81,0.3932853503935417,498970.0,742.8723285211342,2000.0
Capacity,request1,nodes$t1_mem_time,36363700.0,200,0.83,0.37657541771354475,499000.0,664.9895151627444,2000.0
Capacity,request1,nodes$t1_mem_time,37373800.0,200,0.865,0.34258109849381085,498960.0,700.6099281032092,2000.0
Capacity,request1,nodes$t1_mem_time,38383900.0,200,0.88,0.3257769992899002,498985.0,719.2786727306922,2000.0
Capacity,request1,nodes$t1_mem_time,39394000.0,200,0.86,0.34785776565376275,499045.0,724.9848378244726,2000.0
Capacity,request1,nodes$t1_mem_time,40404100.0,200,0.855,0.3529844046834771,499000.0,715.9349230693749,2000.0
Capacity,request1,nodes$t1_mem_time,41414200.0,200,0.815,0.3892719657470634,499005.0,690.9137493531491,2000.0
Capacity,request1,nodes$t1_mem_time,42424300.0,200,0.86,0.34785776565376275,498950.0,721.179937680301,2000.0
Capacity,request1,nodes$t1_mem_time,43434400.0,200,0.805,0.39719493840616527,498915.0,670.8391205260325,2000.0
Capacity,request1,nodes$t1_mem_time,44444500.0,200,0.855,0.3529844046834771,498980.0,722.6417198559615,2000.0
Capacity,request1,nodes$t1_mem_time,45454600.0,200,0.905,0.29395073596757565,498950.0,741.7892263179664,2000.0
Capacity,request1,nodes$t1_mem_time,46464700.0,200,0.865,0.3425810984938109,498940.0,727.3549519530703,2000.0
Capacity,request1,nodes$t1_mem_time,47474800.0,200,0.84,0.3675260220507142,499040.0,714.8110056996511,2000.0
Capacity,request1,nodes$t1_mem_time,48484900.0,200,0.875,0.3315488246330816,499030.0,729.2179331104312,2000.0
Capacity,request1,nodes$t1_mem_time,49495000.0,200,0.88,0.3257769992899002,498915.0,714.3714952080809,2000.0
Capacity,request1,nodes$t1_mem_time,50505100.0,200,0.84,0.3675260220507143,499050.0,678.084799250709,2000.0
Capacity,request1,nodes$t1_mem_time,51515200.0,200,0.84,0.3675260220507143,498910.0,703.1158221064879,2000.0
Capacity,request1,nodes$t1_mem_time,52525300.0,200,0.875,0.3315488246330816,499030.0,722.2939448130296,2000.0
Capacity,request1,nodes$t1_mem_time,53535400.0,200,0.835,0.37211199481260626,499060.0,677.2691247478239,2000.0
Capacity,request1,nodes$t1_mem_time,54545500.0,200,0.84,0.3675260220507143,498955.0,703.8836987077714,2000.0
Capacity,request1,nodes$t1_mem_time,55555600.0,200,0.845,0.36281285234835015,499055.0,666.4802922063768,2000.0
Capacity,request1,nodes$t1_mem_time,56565700.0,200,0.88,0.3257769992899002,498925.0,736.264508947483,2000.0
Capacity,request1,nodes$t1_mem_time,57575800.0,200,0.845,0.3628128523483501,498915.0,685.6570776566837,2000.0
Capacity,request1,nodes$t1_mem_time,58585900.0,200,0.84,0.3675260220507143,499030.0,722.2939448130296,2000.0
Capacity,request1,nodes$t1_mem_time,59596000.0,200,0.855,0.3529844046834771,498985.0,719.2786727306922,2000.0
Capacity,request1,nodes$t1_mem_time,60606100.0,200,0.83,0.37657541771354464,499025.0,704.8824699780894,2000.0
Capacity,request1,nodes$t1_mem_time,61616200.0,200,0.855,0.3529844046834771,499020.0,715.6541092036715,2000.0
Capacity,request1,nodes$t1_mem_time,62626300.0,200,0.84,0.3675260220507143,498990.0,708.8103133430745,2000.0
Capacity,request1,nodes$t1_mem_time,63636400.0,200,0.8,0.40100376569366847,499025.0,697.7170237468272,2000.0
Capacity,request1,nodes$t1_mem_time,64646500.0,200,0.865,0.3425810984938109,499015.0,719.2786727306922,2000.0
Capacity,request1,nodes$t1_mem_time,65656600.0,200,0.84,0.3675260220507143,498855.0,725.677642070503,2000.0
Capacity,request1,nodes$t1_mem_time,66666700.0,200,0.86,0.34785776565376275,499020.0,672.2048024838948,2000.0
Capacity,request1,nodes$t1_mem_time,67676800.0,200,0.845,0.36281285234835015,499005.0,712.399159751098,2000.0
