Aplicación,request,parámetro,valor,Generated entanglements,Mean fidel,Std fidel,Mean time,Std time,EPS
Capacity,request1,links$endNode_distance,1.0,1323,0.999244142101285,0.027492869961410753,755432.6908541194,413973.2071490037,1323.0
Capacity,request1,links$endNode_distance,1.7959183673469388,1195,0.999163179916318,0.028927842707018588,836762.6563060189,489757.21988151537,1195.0
Capacity,request1,links$endNode_distance,2.5918367346938775,1068,1.0,0.0,936134.6557555525,625966.4616857644,1068.0
Capacity,request1,links$endNode_distance,3.387755102040816,1009,1.0,0.0,990065.2652656485,661958.7269541445,1009.0
Capacity,request1,links$endNode_distance,4.183673469387755,904,0.9977876106194691,0.0470099918838559,1105219.4418231652,787980.3696288102,904.0
Capacity,request1,links$endNode_distance,4.979591836734694,791,1.0,0.0,1260475.2558115888,895821.5273138621,791.0
Capacity,request1,links$endNode_distance,5.775510204081632,742,1.0,0.0,1345205.2882446276,1063937.0560843323,742.0
Capacity,request1,links$endNode_distance,6.571428571428571,720,0.9986111111111111,0.03726779962499649,1388011.6617063624,1045344.2760640044,720.0
Capacity,request1,links$endNode_distance,7.36734693877551,658,0.9984802431610942,0.038984058779272523,1518103.0733205334,1155403.2096308859,658.0
Capacity,request1,links$endNode_distance,8.16326530612245,570,1.0,0.0,1750831.9541711584,1439405.4851160992,570.0
Capacity,request1,links$endNode_distance,8.959183673469388,535,1.0,0.0,1865977.9042532942,1514715.5312478994,535.0
Capacity,request1,links$endNode_distance,9.755102040816327,515,1.0,0.0,1940463.1291856307,1587823.7052960994,515.0
Capacity,request1,links$endNode_distance,10.551020408163264,481,1.0,0.0,2077937.6817005156,1807889.1522833249,481.0
Capacity,request1,links$endNode_distance,11.346938775510203,422,1.0,0.0,2357836.5995261623,2111383.246590393,422.0
Capacity,request1,links$endNode_distance,12.142857142857142,384,1.0,0.0,2603483.14174103,2297274.8959075143,384.0
Capacity,request1,links$endNode_distance,12.938775510204081,332,1.0,0.0,3010804.4203345245,2782178.17800679,332.0
Capacity,request1,links$endNode_distance,13.73469387755102,343,1.0,0.0,2902788.0213602544,2524841.4190640664,343.0
Capacity,request1,links$endNode_distance,14.53061224489796,327,1.0,0.0,3056403.880671356,2693334.559021299,327.0
Capacity,request1,links$endNode_distance,15.326530612244898,277,1.0,0.0,3606427.142120424,3208291.9764627838,277.0
Capacity,request1,links$endNode_distance,16.122448979591837,249,1.0,0.0,3993827.3875092226,3610322.693373832,249.0
Capacity,request1,links$endNode_distance,16.918367346938776,226,1.0,0.0,4416839.034675776,4112571.333324462,226.0
Capacity,request1,links$endNode_distance,17.714285714285715,200,1.0,0.0,4973567.953571448,4986424.402085959,200.0
Capacity,request1,links$endNode_distance,18.510204081632654,196,1.0,0.0,5061464.5767387375,4831261.77947347,196.0
Capacity,request1,links$endNode_distance,19.306122448979593,175,0.9942857142857143,0.07559289460184543,5669753.8542271,5878301.519265475,175.0
