Aplicación,request,parámetro,valor,Generated entanglements,Mean fidel,Std fidel,Mean time,Std time,EPS
Capacity,request1,nodes$t1_mem_time,100.0,200,0.225,0.4186302142480964,499000.0,750.2093510159406,2000.0
Capacity,request1,nodes$t1_mem_time,114.97569953977356,200,0.295,0.4571871613491707,498985.0,719.2786727306922,2000.0
Capacity,request1,nodes$t1_mem_time,132.19411484660287,200,0.265,0.44244069528494,499010.0,679.8610558609619,2000.0
Capacity,request1,nodes$t1_mem_time,151.99110829529332,200,0.225,0.4186302142480964,498915.0,707.3021857095789,2000.0
Capacity,request1,nodes$t1_mem_time,174.7528400007683,200,0.26,0.4397349590046876,499020.0,743.2104742569403,2000.0
Capacity,request1,nodes$t1_mem_time,200.9233002565048,200,0.25,0.43409931012992453,499045.0,752.1994549988071,2000.0
Capacity,request1,nodes$t1_mem_time,231.01297000831605,200,0.3,0.4594075275633928,499035.0,697.2847554269015,2000.0
Capacity,request1,nodes$t1_mem_time,265.6087782946687,200,0.2,0.40100376569366847,499005.0,698.1490244220839,2000.0
Capacity,request1,nodes$t1_mem_time,305.3855508833416,200,0.215,0.41185326947578005,498975.0,725.9545786419811,2000.0
Capacity,request1,nodes$t1_mem_time,351.1191734215131,200,0.25,0.43409931012992453,498970.0,715.3029368437449,2000.0
Capacity,request1,nodes$t1_mem_time,403.70172585965537,200,0.3,0.4594075275633928,498965.0,704.454598542046,2000.0
Capacity,request1,nodes$t1_mem_time,464.1588833612782,200,0.24,0.4281548585670527,498995.0,690.9137493531491,2000.0
Capacity,request1,nodes$t1_mem_time,533.6699231206312,200,0.275,0.4476347667709811,499040.0,671.3071326387485,2000.0
Capacity,request1,nodes$t1_mem_time,613.5907273413176,200,0.24,0.42815485856705265,498990.0,708.8103133430745,2000.0
Capacity,request1,nodes$t1_mem_time,705.4802310718645,200,0.26,0.4397349590046876,499005.0,712.399159751098,2000.0
Capacity,request1,nodes$t1_mem_time,811.1308307896873,200,0.225,0.4186302142480963,498930.0,698.2389909208816,2000.0
Capacity,request1,nodes$t1_mem_time,932.60334688322,200,0.265,0.44244069528493996,499055.0,695.9863396106443,2000.0
Capacity,request1,nodes$t1_mem_time,1072.2672220103232,200,0.285,0.4525472295516506,499050.0,699.9641053252078,2000.0
Capacity,request1,nodes$t1_mem_time,1232.8467394420659,200,0.265,0.44244069528493996,498960.0,700.6099281032092,2000.0
Capacity,request1,nodes$t1_mem_time,1417.4741629268049,200,0.275,0.4476347667709811,498965.0,682.7192158114425,2000.0
