Aplicación,request,parámetro,valor,Generated entanglements,Mean fidel,Std fidel,Mean time,Std time,EPS
Capacity,request1,nodes$t1_mem_time,100.0,2039,0.25502697400686614,0.43598330175527994,49026.48357037763,708.3443103614211,20390.0
Capacity,request1,nodes$t1_mem_time,1010200.0,2041,0.9059284664380206,0.29199975285050306,48984.321411073004,709.0100407051743,20410.0
Capacity,request1,nodes$t1_mem_time,2020300.0,2040,0.957843137254902,0.20099618237186384,49006.86274509804,731.785163176952,20400.0
Capacity,request1,nodes$t1_mem_time,3030400.0,2040,0.9735294117647059,0.16056940770635372,49010.78431372549,709.2753194029062,20400.0
Capacity,request1,nodes$t1_mem_time,4040500.0,2040,0.9730392156862745,0.16200853830868506,48998.529411764706,706.9318341009778,20400.0
Capacity,request1,nodes$t1_mem_time,5050600.0,2040,0.9779411764705882,0.1469108969530144,49010.78431372549,709.2753194029062,20400.0
Capacity,request1,nodes$t1_mem_time,6060700.0,2040,0.9823529411764705,0.1316971608231675,49000.98039215686,701.7102484562043,20400.0
Capacity,request1,nodes$t1_mem_time,7070800.0,2040,0.9882352941176471,0.1078517479617865,49014.21568627451,701.9162956297866,20400.0
Capacity,request1,nodes$t1_mem_time,8080900.0,2040,0.9911764705882353,0.09354124191228966,49017.64705882353,696.5777430938973,20400.0
Capacity,request1,nodes$t1_mem_time,9091000.0,2040,0.9911764705882353,0.09354124191228966,49002.94117647059,712.7997946816988,20400.0
Capacity,request1,nodes$t1_mem_time,10101100.0,2041,0.9897109260166586,0.10093661728527965,48977.462028417445,696.2656881420502,20410.0
Capacity,request1,nodes$t1_mem_time,11111200.0,2040,0.990686274509804,0.09608072260013217,49009.313725490196,715.8347172570282,20400.0
Capacity,request1,nodes$t1_mem_time,12121300.0,2040,0.9946078431372549,0.07325101881867857,49006.86274509804,716.2048914773482,20400.0
Capacity,request1,nodes$t1_mem_time,13131400.0,2042,0.9955925563173359,0.06625834331036515,48965.71988246817,697.7251451213622,20420.0
Capacity,request1,nodes$t1_mem_time,14141500.0,2040,0.9941176470588236,0.07648933792007638,49018.13725490196,710.8522337786427,20400.0
Capacity,request1,nodes$t1_mem_time,15151600.0,2041,0.9955903968642822,0.0662745092354613,48984.811366976974,707.2901727153773,20410.0
Capacity,request1,nodes$t1_mem_time,16161700.0,2040,0.9965686274509804,0.05849166887000292,48996.56862745098,704.8406789713466,20400.0
Capacity,request1,nodes$t1_mem_time,17171800.0,2040,0.9965686274509804,0.058491668870002914,48996.07843137255,702.3985486622358,20400.0
Capacity,request1,nodes$t1_mem_time,18181900.0,2041,0.9951004409603136,0.06984227471983391,48986.771190592845,710.0962452531012,20410.0
Capacity,request1,nodes$t1_mem_time,19192000.0,2039,0.9926434526728789,0.08547521086990516,49038.25404610103,710.5735096817862,20390.0
Capacity,request1,nodes$t1_mem_time,20202100.0,2041,0.9916707496325331,0.09090612143087197,48978.93189612935,698.069491854234,20410.0
Capacity,request1,nodes$t1_mem_time,21212200.0,2041,0.9965703086722195,0.058477380245235425,48984.811366976974,702.4219837972819,20410.0
Capacity,request1,nodes$t1_mem_time,22222300.0,2040,0.9975490196078431,0.04945879286122402,49001.470588235294,706.2377397791928,20400.0
Capacity,request1,nodes$t1_mem_time,23232400.0,2040,0.9941176470588236,0.07648933792007638,48997.05882352941,706.580278882539,20400.0
Capacity,request1,nodes$t1_mem_time,24242500.0,2041,0.9960803527682509,0.06249957969327695,48982.361587457126,709.6550588305231,20410.0
Capacity,request1,nodes$t1_mem_time,25252600.0,2040,0.996078431372549,0.06251484355752851,49000.490196078434,706.9331944008,20400.0
Capacity,request1,nodes$t1_mem_time,26262700.0,2041,0.9941205291523763,0.0764706990849658,48976.972072513476,711.9145986621573,20410.0
Capacity,request1,nodes$t1_mem_time,27272800.0,2041,0.9960803527682509,0.062499579693276956,48989.71092601666,708.0710919796334,20410.0
Capacity,request1,nodes$t1_mem_time,28282900.0,2041,0.9970602645761881,0.05415284101439153,48975.99216070554,707.0456401063634,20410.0
Capacity,request1,nodes$t1_mem_time,29293000.0,2041,0.9975502204801567,0.04944669888464365,48985.79127878491,714.2073444903119,20410.0
Capacity,request1,nodes$t1_mem_time,30303100.0,2040,0.9970588235294118,0.054166079508186075,49000.98039215686,703.1066908673014,20400.0
Capacity,request1,nodes$t1_mem_time,31313200.0,2041,0.9965703086722195,0.05847738024523544,48986.281234688875,713.1866744639755,20410.0
Capacity,request1,nodes$t1_mem_time,32323300.0,2041,0.9965703086722195,0.05847738024523543,48991.67074963253,724.5209379861088,20410.0
Capacity,request1,nodes$t1_mem_time,33333400.0,2041,0.9975502204801567,0.049446698884643654,48988.73101420872,719.7292564646631,20410.0
Capacity,request1,nodes$t1_mem_time,34343500.0,2039,0.9950956351152526,0.06987636758859261,49031.387935262384,694.1474010597757,20390.0
Capacity,request1,nodes$t1_mem_time,35353600.0,2039,0.9985286905345758,0.038338826137474184,49026.97400686611,700.3141134650463,20390.0
Capacity,request1,nodes$t1_mem_time,36363700.0,2041,0.9970602645761881,0.05415284101439153,48971.09260166585,717.8721496781117,20410.0
Capacity,request1,nodes$t1_mem_time,37373800.0,2041,0.9985301322880941,0.03832005565144119,48988.24105830475,712.5340670903881,20410.0
Capacity,request1,nodes$t1_mem_time,38383900.0,2040,0.9965686274509804,0.058491668870002914,49005.39215686275,705.523880663593,20400.0
Capacity,request1,nodes$t1_mem_time,39394000.0,2039,0.996076508092202,0.06253011861042303,49025.50269740068,711.8352690838384,20390.0
Capacity,request1,nodes$t1_mem_time,40404100.0,2041,0.9975502204801567,0.049446698884643654,48979.911807937286,706.4743949002823,20410.0
Capacity,request1,nodes$t1_mem_time,41414200.0,2041,0.9985301322880941,0.038320055651441184,48984.811366976974,696.8166947388725,20410.0
Capacity,request1,nodes$t1_mem_time,42424300.0,2041,0.9970602645761881,0.05415284101439153,48993.14061734444,720.1252507624608,20410.0
Capacity,request1,nodes$t1_mem_time,43434400.0,2040,0.9975490196078431,0.04945879286122402,49001.470588235294,707.6252476009613,20400.0
Capacity,request1,nodes$t1_mem_time,44444500.0,2041,0.9970602645761881,0.05415284101439153,48983.831455169035,710.725408911791,20410.0
Capacity,request1,nodes$t1_mem_time,45454600.0,2041,0.9975502204801567,0.049446698884643654,48974.03233708966,704.1973994450509,20410.0
Capacity,request1,nodes$t1_mem_time,46464700.0,2041,0.9985301322880941,0.038320055651441184,48988.24105830475,702.138814203736,20410.0
Capacity,request1,nodes$t1_mem_time,47474800.0,2040,0.9985294117647059,0.038329437447396725,49000.0,714.1806130200764,20400.0
Capacity,request1,nodes$t1_mem_time,48484900.0,2039,0.9970573810691515,0.054179327715695086,49024.03138793526,700.4213164975121,20390.0
Capacity,request1,nodes$t1_mem_time,49495000.0,2041,0.9970602645761881,0.05415284101439153,48978.93189612935,707.1393876010897,20410.0
Capacity,request1,nodes$t1_mem_time,50505100.0,2041,0.9965703086722195,0.058477380245235425,48971.09260166585,704.778669018211,20410.0
Capacity,request1,nodes$t1_mem_time,51515200.0,2040,0.9995098039215686,0.022140372138502385,49003.43137254902,711.0754105756536,20400.0
Capacity,request1,nodes$t1_mem_time,52525300.0,2039,0.9975478175576263,0.049470895716146754,49020.59833251594,698.777451278499,20390.0
Capacity,request1,nodes$t1_mem_time,53535400.0,2039,0.9985286905345758,0.03833882613747418,49022.56007846984,688.8151125440564,20390.0
Capacity,request1,nodes$t1_mem_time,54545500.0,2039,0.9995095635115253,0.022145800696175843,49020.10789602746,694.9190251762791,20390.0
Capacity,request1,nodes$t1_mem_time,55555600.0,2042,0.9990205680705191,0.0312882094569906,48969.637610186095,697.2043044557741,20420.0
Capacity,request1,nodes$t1_mem_time,56565700.0,2041,0.9975502204801567,0.049446698884643654,48975.0122488976,710.4698889363187,20410.0
Capacity,request1,nodes$t1_mem_time,57575800.0,2041,0.9980401763841255,0.04423733177217875,48989.71092601666,706.6851399198265,20410.0
Capacity,request1,nodes$t1_mem_time,58585900.0,2041,0.9995100440960314,0.022134947570948586,48978.44194022538,706.0840106412923,20410.0
Capacity,request1,nodes$t1_mem_time,59596000.0,2041,0.9990200881920627,0.03129586967974889,48988.24105830475,695.8271229261359,20410.0
Capacity,request1,nodes$t1_mem_time,60606100.0,2041,0.9990200881920627,0.03129586967974889,48987.261146496814,706.298272620238,20410.0
Capacity,request1,nodes$t1_mem_time,61616200.0,2040,0.9980392156862745,0.044248156946985376,48995.58823529412,715.19632567963,20400.0
Capacity,request1,nodes$t1_mem_time,62626300.0,2041,1.0,0.0,48983.831455169035,718.9543189627457,20410.0
Capacity,request1,nodes$t1_mem_time,63636400.0,2041,0.9985301322880941,0.03832005565144119,48982.361587457126,723.3381959090839,20410.0
Capacity,request1,nodes$t1_mem_time,64646500.0,2040,0.9985294117647059,0.038329437447396725,49012.74509803922,705.7768451153809,20400.0
Capacity,request1,nodes$t1_mem_time,65656600.0,2040,0.9975490196078431,0.04945879286122401,48997.05882352941,707.967115380104,20400.0
Capacity,request1,nodes$t1_mem_time,66666700.0,2041,0.9985301322880941,0.03832005565144119,48991.67074963253,713.6135614395702,20410.0
Capacity,request1,nodes$t1_mem_time,67676800.0,2042,0.9995102840352595,0.022129526988628807,48960.333006856024,703.3854487008283,20420.0
Capacity,request1,nodes$t1_mem_time,68686900.0,2040,0.9985294117647059,0.03832943744739672,48999.509803921566,692.2111013482665,20400.0
