Aplicación,request,parámetro,valor,Generated entanglements,Mean fidel,Std fidel,Mean time,Std time,EPS
Capacity,request1,nodes$t1_mem_time,100.0,200,0.25,0.43409931012992453,499020.0,664.687178472799,2000.0
Capacity,request1,nodes$t1_mem_time,1010200.0,200,0.385,0.4878163836123209,498975.0,675.7649676161724,2000.0
Capacity,request1,nodes$t1_mem_time,2020300.0,200,0.595,0.4921238966441695,499020.0,694.2694363510872,2000.0
Capacity,request1,nodes$t1_mem_time,3030400.0,200,0.69,0.46365383032156576,498990.0,743.413287870828,2000.0
Capacity,request1,nodes$t1_mem_time,4040500.0,200,0.775,0.4186302142480963,498965.0,690.0404183049515,2000.0
Capacity,request1,nodes$t1_mem_time,5050600.0,200,0.8,0.40100376569366847,498995.0,698.1490244220839,2000.0
Capacity,request1,nodes$t1_mem_time,6060700.0,200,0.835,0.37211199481260626,499055.0,666.4802922063768,2000.0
Capacity,request1,nodes$t1_mem_time,7070800.0,200,0.785,0.41185326947578,498990.0,701.6849784947844,2000.0
Capacity,request1,nodes$t1_mem_time,8080900.0,200,0.8,0.40100376569366847,499020.0,701.470100223479,2000.0
Capacity,request1,nodes$t1_mem_time,9091000.0,200,0.795,0.40471467708652015,499085.0,700.1615032642585,2000.0
Capacity,request1,nodes$t1_mem_time,10101100.0,200,0.835,0.37211199481260626,498955.0,651.9973178722155,2000.0
Capacity,request1,nodes$t1_mem_time,11111200.0,200,0.845,0.36281285234835015,499015.0,712.2580696551951,2000.0
Capacity,request1,nodes$t1_mem_time,12121300.0,200,0.855,0.3529844046834771,498980.0,679.6392776603582,2000.0
Capacity,request1,nodes$t1_mem_time,13131400.0,200,0.885,0.3198225010233083,498965.0,732.4324449614181,2000.0
Capacity,request1,nodes$t1_mem_time,14141500.0,200,0.84,0.3675260220507143,499065.0,695.1193816704217,2000.0
Capacity,request1,nodes$t1_mem_time,15151600.0,200,0.89,0.31367492695304,499030.0,701.1118234238555,2000.0
Capacity,request1,nodes$t1_mem_time,16161700.0,200,0.89,0.31367492695304,498950.0,699.9641053252078,2000.0
Capacity,request1,nodes$t1_mem_time,17171800.0,200,0.885,0.3198225010233083,499045.0,682.1301250770914,2000.0
Capacity,request1,nodes$t1_mem_time,18181900.0,200,0.89,0.31367492695304,499005.0,630.0474577323322,2000.0
Capacity,request1,nodes$t1_mem_time,19192000.0,200,0.87,0.33714735904132886,499010.0,679.8610558609619,2000.0
Capacity,request1,nodes$t1_mem_time,20202100.0,200,0.915,0.2795815250436421,498970.0,722.2939448130296,2000.0
Capacity,request1,nodes$t1_mem_time,21212200.0,200,0.89,0.31367492695304,499095.0,727.0612700813194,2000.0
Capacity,request1,nodes$t1_mem_time,22222300.0,200,0.88,0.3257769992899002,499035.0,660.2687133806559,2000.0
Capacity,request1,nodes$t1_mem_time,23232400.0,200,0.885,0.3198225010233083,498985.0,705.1675733700914,2000.0
Capacity,request1,nodes$t1_mem_time,24242500.0,200,0.925,0.2640523018086611,499005.0,683.601900077044,2000.0
Capacity,request1,nodes$t1_mem_time,25252600.0,200,0.9,0.3007528242702513,498995.0,705.3100818489617,2000.0
Capacity,request1,nodes$t1_mem_time,26262700.0,200,0.915,0.2795815250436421,498990.0,672.4290327016677,2000.0
Capacity,request1,nodes$t1_mem_time,27272800.0,200,0.92,0.2719739863410307,498885.0,731.0589826962696,2000.0
Capacity,request1,nodes$t1_mem_time,28282900.0,200,0.91,0.2868999090082545,498990.0,701.6849784947844,2000.0
Capacity,request1,nodes$t1_mem_time,29293000.0,200,0.91,0.2868999090082545,499000.0,750.2093510159406,2000.0
Capacity,request1,nodes$t1_mem_time,30303100.0,200,0.935,0.247144496216384,498995.0,740.0767310483393,2000.0
Capacity,request1,nodes$t1_mem_time,31313200.0,200,0.915,0.2795815250436421,498970.0,736.0767930223928,2000.0
Capacity,request1,nodes$t1_mem_time,32323300.0,200,0.88,0.3257769992899002,499110.0,721.4586007268983,2000.0
Capacity,request1,nodes$t1_mem_time,33333400.0,200,0.915,0.2795815250436421,498950.0,692.7477877896379,2000.0
Capacity,request1,nodes$t1_mem_time,34343500.0,200,0.875,0.3315488246330816,498980.0,694.2694363510872,2000.0
