Aplicación,request,parámetro,valor,Teleported states,Mean fidel,Std fidel,Mean time,Std time,Queue size,Discarded qubits
TeleportationWithDemand,request1,nodes$gate_duration,100.0,337,0.629080118694362,0.48376934819432993,295802.6706231454,100.40982152873273,162,0
TeleportationWithDemand,request1,nodes$gate_duration,2138.775510204082,320,0.61875,0.48645444908488883,311850.1125,2231.423243724334,179,0
TeleportationWithDemand,request1,nodes$gate_duration,4177.551020408164,303,0.6270627062706271,0.4843856141621274,328691.7095709571,4181.699026688644,195,0
TeleportationWithDemand,request1,nodes$gate_duration,6216.326530612245,289,0.5882352941176471,0.4930066485916347,344663.4740484429,6417.441541972678,210,0
TeleportationWithDemand,request1,nodes$gate_duration,8255.102040816328,276,0.6086956521739131,0.4889288121999045,360740.90579710144,8294.494718250988,222,0
TeleportationWithDemand,request1,nodes$gate_duration,10293.877551020409,263,0.6007604562737643,0.49067583828598454,377970.19011406845,9994.54900182986,235,0
TeleportationWithDemand,request1,nodes$gate_duration,12332.65306122449,253,0.6284584980237155,0.48417455044081004,392924.85375494073,12187.046515061538,245,0
TeleportationWithDemand,request1,nodes$gate_duration,14371.428571428572,243,0.6337448559670782,0.4827747459153985,410618.5390946502,15636.630692272653,256,0
TeleportationWithDemand,request1,nodes$gate_duration,16410.204081632655,234,0.6068376068376068,0.4894994370141467,425368.3333333333,16664.31337105599,264,0
TeleportationWithDemand,request1,nodes$gate_duration,18448.979591836734,225,0.5866666666666667,0.49352956200356285,442010.0622222222,18397.7853096421,273,0
TeleportationWithDemand,request1,nodes$gate_duration,20487.755102040817,217,0.5622119815668203,0.4972616600538204,458612.76958525344,19956.505021857007,281,0
TeleportationWithDemand,request1,nodes$gate_duration,22526.5306122449,210,0.638095238095238,0.4816997322343371,474135.3333333333,21223.194953444166,288,0
TeleportationWithDemand,request1,nodes$gate_duration,24565.30612244898,204,0.6421568627450981,0.48054490304683944,486823.75,25194.895180060514,293,0
TeleportationWithDemand,request1,nodes$gate_duration,26604.081632653062,197,0.5532994923857868,0.49841767650720725,506481.5431472081,28408.628615451133,302,0
TeleportationWithDemand,request1,nodes$gate_duration,28642.857142857145,191,0.5863874345549738,0.49377497181271446,521286.7958115183,29903.844063319862,307,0
TeleportationWithDemand,request1,nodes$gate_duration,30681.632653061224,186,0.5645161290322581,0.4971584469362557,535994.3064516129,30186.167086618592,313,0
TeleportationWithDemand,request1,nodes$gate_duration,32720.408163265307,179,0.5307262569832403,0.5004548806487199,557125.5865921788,33264.8700898981,320,0
TeleportationWithDemand,request1,nodes$gate_duration,34759.183673469386,175,0.5771428571428572,0.49543068126057616,569894.0342857143,31898.224414948298,324,0
TeleportationWithDemand,request1,nodes$gate_duration,36797.95918367347,168,0.5119047619047619,0.5013526044503654,592004.3571428572,37032.3274891129,330,0
TeleportationWithDemand,request1,nodes$gate_duration,38836.73469387755,165,0.5636363636363636,0.49744357555882157,603805.0424242425,36341.94082336777,334,0
TeleportationWithDemand,request1,nodes$gate_duration,40875.510204081635,161,0.5962732919254659,0.4921747909480132,619715.0621118012,40425.056555261835,338,0
TeleportationWithDemand,request1,nodes$gate_duration,42914.28571428572,156,0.5512820512820513,0.4989650164848885,636386.3717948718,45557.72937772936,341,0
TeleportationWithDemand,request1,nodes$gate_duration,44953.0612244898,151,0.6423841059602649,0.4808932086707976,659387.2317880795,47333.13048136492,347,0
TeleportationWithDemand,request1,nodes$gate_duration,46991.836734693876,148,0.5,0.5016977977548923,672198.027027027,48079.936918720145,350,0
TeleportationWithDemand,request1,nodes$gate_duration,49030.61224489796,145,0.5655172413793104,0.4974070698165118,687240.0,44383.51062362888,354,0
TeleportationWithDemand,request1,nodes$gate_duration,51069.38775510204,141,0.6170212765957447,0.4878462062706283,704276.3829787234,48825.89230984191,356,0
TeleportationWithDemand,request1,nodes$gate_duration,53108.163265306124,138,0.6086956521739131,0.48982020548726457,721018.5217391305,51521.05045190177,360,0
TeleportationWithDemand,request1,nodes$gate_duration,55146.93877551021,134,0.5746268656716418,0.49625462891182986,742341.0597014925,56844.884239145234,364,0
TeleportationWithDemand,request1,nodes$gate_duration,57185.71428571429,133,0.5639097744360902,0.4977735803075747,745170.6390977444,62727.419067008945,363,0
TeleportationWithDemand,request1,nodes$gate_duration,59224.489795918365,129,0.5348837209302325,0.5007262167952128,769710.2015503875,56856.05025184488,368,0
TeleportationWithDemand,request1,nodes$gate_duration,61263.26530612245,126,0.5396825396825397,0.5004125282331553,789966.1428571428,62285.245597424015,372,0
TeleportationWithDemand,request1,nodes$gate_duration,63302.04081632653,123,0.5853658536585366,0.4946737502155729,805533.2032520325,65213.62115826036,373,0
TeleportationWithDemand,request1,nodes$gate_duration,65340.816326530614,121,0.5867768595041323,0.4944596627903249,824740.0,69458.21938402971,378,0
TeleportationWithDemand,request1,nodes$gate_duration,67379.59183673469,119,0.5378151260504201,0.5006760847126234,832333.3697478991,64736.033428967254,377,0
TeleportationWithDemand,request1,nodes$gate_duration,69418.36734693877,116,0.5258620689655172,0.5014970093378549,853336.1551724138,68133.80513341611,379,0
TeleportationWithDemand,request1,nodes$gate_duration,71457.14285714286,116,0.5086206896551724,0.5020945633291977,854951.8362068966,72348.6666754873,380,0
TeleportationWithDemand,request1,nodes$gate_duration,73495.91836734694,112,0.6428571428571429,0.4813109511118895,886241.0267857143,73421.06581232183,385,0
TeleportationWithDemand,request1,nodes$gate_duration,75534.69387755102,111,0.5225225225225225,0.5017577620334853,896550.0540540541,84558.78824643919,387,0
TeleportationWithDemand,request1,nodes$gate_duration,77573.4693877551,110,0.5454545454545454,0.500208463632155,905005.8636363636,78967.64644971333,388,0
TeleportationWithDemand,request1,nodes$gate_duration,79612.24489795919,106,0.5943396226415094,0.4933520309222355,937153.3962264151,83872.03352780429,391,0
