plicación,request,parámetro,valor,Generated entanglements,Mean fidel,Std fidel,Mean time,Std time,EPS
Capacity,request1,links$switch_distance,0.5,723,0.995850622406639,0.06432638239947715,1380394.5435684647,1034905.3145893272,723.0
Capacity,request1,links$switch_distance,0.8877551020408163,700,1.0,0.0,1427770.542419768,1131542.450366734,700.0
Capacity,request1,links$switch_distance,1.2755102040816326,609,1.0,0.0,1634915.6618410216,1364745.6670480357,609.0
Capacity,request1,links$switch_distance,1.663265306122449,582,1.0,0.0,1715955.994985573,1329945.1914078384,582.0
Capacity,request1,links$switch_distance,2.0510204081632653,505,1.0,0.0,1972969.5797130142,1641226.0136385646,505.0
Capacity,request1,links$switch_distance,2.4387755102040813,512,1.0,0.0,1952679.4072864917,1587113.2463443659,512.0
Capacity,request1,links$switch_distance,2.826530612244898,445,0.9977528089887641,0.04740454631399772,2245090.309561963,1924981.4691644562,445.0
Capacity,request1,links$switch_distance,3.2142857142857144,424,1.0,0.0,2353223.972372026,1988046.1913831232,424.0
Capacity,request1,links$switch_distance,3.6020408163265305,366,1.0,0.0,2730655.9295193506,2487436.7421829454,366.0
Capacity,request1,links$switch_distance,3.9897959183673466,356,1.0,0.0,2799886.086906797,2480605.189885413,356.0
Capacity,request1,links$switch_distance,4.377551020408163,314,1.0,0.0,3179507.853243247,2752244.5426383587,314.0
Capacity,request1,links$switch_distance,4.76530612244898,289,1.0,0.0,3449939.5222792416,2730837.6476277797,289.0
Capacity,request1,links$switch_distance,5.153061224489796,269,1.0,0.0,3712352.118200349,3367112.0574825965,269.0
Capacity,request1,links$switch_distance,5.540816326530612,251,1.0,0.0,3952203.4799576397,3503510.195671273,251.0
Capacity,request1,links$switch_distance,5.928571428571429,212,0.9905660377358491,0.09689815035654652,4712897.671833086,4356276.868666275,212.0
Capacity,request1,links$switch_distance,6.316326530612245,205,1.0,0.0,4844433.701841657,4024930.261454072,205.0
Capacity,request1,links$switch_distance,6.704081632653061,195,0.9948717948717949,0.0716114874039433,5119773.993720755,5578904.086122822,195.0
Capacity,request1,links$switch_distance,7.091836734693877,193,1.0,0.0,5181109.93866942,4590844.398218776,193.0
Capacity,request1,links$switch_distance,7.479591836734693,158,1.0,0.0,6325313.159390687,6532437.330225794,158.0
Capacity,request1,links$switch_distance,7.86734693877551,173,0.9942196531791907,0.07602859212697055,5762472.010734905,5141194.296849817,173.0
Capacity,request1,links$switch_distance,8.255102040816325,134,0.9925373134328358,0.08638684255813604,7356669.911665959,7401588.914461331,134.0
Capacity,request1,links$switch_distance,8.642857142857142,119,1.0,0.0,8228145.1860744525,7527308.155664164,119.0
Capacity,request1,links$switch_distance,9.03061224489796,123,1.0,0.0,8087322.567611397,7806594.779430079,123.0
Capacity,request1,links$switch_distance,9.418367346938775,111,0.990990990990991,0.09491579957524991,8957102.921493698,7652830.134122284,111.0
Capacity,request1,links$switch_distance,9.806122448979592,99,1.0,0.0,10073163.302411964,7693324.81332431,99.0
Capacity,request1,links$switch_distance,10.193877551020408,90,1.0,0.0,11019609.716553172,9832747.429786889,90.0
Capacity,request1,links$switch_distance,10.581632653061224,85,1.0,0.0,11716061.202880438,11213975.04558434,85.0
Capacity,request1,links$switch_distance,10.96938775510204,72,1.0,0.0,13855122.640308222,12169698.68636729,72.0
Capacity,request1,links$switch_distance,11.357142857142858,70,1.0,0.0,14227568.48979682,12700209.882551113,70.0
Capacity,request1,links$switch_distance,11.744897959183673,73,1.0,0.0,13250469.517752187,11130954.78947938,73.0
Capacity,request1,links$switch_distance,12.13265306122449,59,1.0,0.0,16826845.110687528,16079631.112589298,59.0
Capacity,request1,links$switch_distance,12.520408163265305,59,1.0,0.0,16052956.03078364,14257121.390098397,59.0
Capacity,request1,links$switch_distance,12.908163265306122,55,1.0,0.0,18123681.6289419,17841660.573815044,55.0
Capacity,request1,links$switch_distance,13.295918367346939,51,1.0,0.0,19043272.949177492,17823056.882115774,51.0
Capacity,request1,links$switch_distance,13.683673469387754,56,0.9821428571428571,0.13363062095621223,17654452.52368278,14909301.684526224,56.0
Capacity,request1,links$switch_distance,14.071428571428571,39,1.0,0.0,24714453.901104487,31658832.02874284,39.0
Capacity,request1,links$switch_distance,14.459183673469386,38,1.0,0.0,26220773.89635287,23860736.17693529,38.0
Capacity,request1,links$switch_distance,14.846938775510203,41,1.0,0.0,23449480.308614686,20703987.099099606,41.0
Capacity,request1,links$switch_distance,15.23469387755102,35,1.0,0.0,28406517.76676483,32995370.651115034,35.0
Capacity,request1,links$switch_distance,15.622448979591836,36,1.0,0.0,27123180.748298645,28522040.761508446,36.0
Capacity,request1,links$switch_distance,16.01020408163265,22,1.0,0.0,45379524.248606876,35952733.72105179,22.0
Capacity,request1,links$switch_distance,16.39795918367347,29,1.0,0.0,31333057.128779903,28056790.768058427,29.0
Capacity,request1,links$switch_distance,16.785714285714285,24,1.0,0.0,41154063.958326064,22666680.555198874,24.0
Capacity,request1,links$switch_distance,17.1734693877551,21,1.0,0.0,41732199.314883366,34212841.47827645,21.0
Capacity,request1,links$switch_distance,17.56122448979592,22,1.0,0.0,43997546.50277155,29171686.14644207,22.0
Capacity,request1,links$switch_distance,17.948979591836736,19,1.0,0.0,52101932.175089784,33439351.634704355,19.0
Capacity,request1,links$switch_distance,18.33673469387755,20,1.0,0.0,47897261.53569798,41692844.02352905,20.0
Capacity,request1,links$switch_distance,18.724489795918366,14,1.0,0.0,68673780.22595379,69962652.22139391,14.0
Capacity,request1,links$switch_distance,19.112244897959183,12,1.0,0.0,82892712.19384146,66211275.62234469,12.0
Capacity,request1,links$switch_distance,19.5,15,1.0,0.0,65921946.0,52671918.83356997,15.0
