Aplicación,request,parámetro,valor,Teleported states,Mean fidel,Std fidel,Mean time,Std time,Queue size,Discarded qubits
TeleportationWithDemand,request1,nodes$gate_duration,100.0,99,0.9595959595959596,0.19790700347467466,295782.82828282827,84.5641937547363,0,0
TeleportationWithDemand,request1,nodes$gate_duration,2138.775510204082,99,0.9696969696969697,0.17229219690157924,312211.9797979798,2333.556985305768,0,0
TeleportationWithDemand,request1,nodes$gate_duration,4177.551020408164,99,0.9797979797979798,0.14140677897022574,328669.1515151515,4039.1070248808164,0,0
TeleportationWithDemand,request1,nodes$gate_duration,6216.326530612245,99,0.9595959595959596,0.19790700347467466,345544.24242424243,6129.545971618275,0,0
TeleportationWithDemand,request1,nodes$gate_duration,8255.102040816328,99,0.9595959595959596,0.19790700347467466,360623.0808080808,8854.36562758015,0,0
TeleportationWithDemand,request1,nodes$gate_duration,10293.877551020409,99,0.9696969696969697,0.1722921969015792,377447.9696969697,10653.754720375793,0,0
TeleportationWithDemand,request1,nodes$gate_duration,12332.65306122449,99,0.9393939393939394,0.23982058847557647,396645.57575757575,11697.956518817336,0,0
TeleportationWithDemand,request1,nodes$gate_duration,14371.428571428572,99,0.9090909090909091,0.2889427981985323,408661.54545454547,12999.058598781123,0,0
TeleportationWithDemand,request1,nodes$gate_duration,16410.204081632655,99,0.9393939393939394,0.23982058847557647,428600.6060606061,16743.206469916346,0,0
TeleportationWithDemand,request1,nodes$gate_duration,18448.979591836734,99,0.9696969696969697,0.17229219690157924,439788.8484848485,16534.796548654005,0,0
TeleportationWithDemand,request1,nodes$gate_duration,20487.755102040817,99,0.9595959595959596,0.19790700347467466,455378.0303030303,22677.863165297793,0,0
TeleportationWithDemand,request1,nodes$gate_duration,22526.5306122449,99,0.98989898989899,0.10050378152592121,474070.3232323232,23729.06534913321,0,0
TeleportationWithDemand,request1,nodes$gate_duration,24565.30612244898,99,0.9494949494949495,0.2200991137469465,488542.42424242425,24881.980851690572,0,0
TeleportationWithDemand,request1,nodes$gate_duration,26604.081632653062,99,0.9696969696969697,0.17229219690157924,506757.0909090909,26582.054028024133,0,0
TeleportationWithDemand,request1,nodes$gate_duration,28642.857142857145,99,0.9393939393939394,0.23982058847557647,526161.191919192,25635.3411443117,0,0
TeleportationWithDemand,request1,nodes$gate_duration,30681.632653061224,99,0.9494949494949495,0.2200991137469465,540448.0,35336.87571079254,0,0
TeleportationWithDemand,request1,nodes$gate_duration,32720.408163265307,99,0.9393939393939394,0.23982058847557647,556760.0,36805.36251966663,0,0
TeleportationWithDemand,request1,nodes$gate_duration,34759.183673469386,99,0.9292929292929293,0.25763941153881403,575880.808080808,32056.5106767551,0,0
TeleportationWithDemand,request1,nodes$gate_duration,36797.95918367347,99,0.9696969696969697,0.1722921969015792,582685.6363636364,36177.361690239646,0,0
TeleportationWithDemand,request1,nodes$gate_duration,38836.73469387755,99,0.9393939393939394,0.23982058847557647,611572.2424242424,38979.83752939694,0,0
TeleportationWithDemand,request1,nodes$gate_duration,40875.510204081635,99,0.9595959595959596,0.19790700347467466,619935.6060606061,42258.736581754136,0,0
TeleportationWithDemand,request1,nodes$gate_duration,42914.28571428572,99,0.9191919191919192,0.27392713453777273,637878.5252525252,40431.54826454502,0,0
TeleportationWithDemand,request1,nodes$gate_duration,44953.0612244898,99,0.9191919191919192,0.27392713453777273,659618.7777777778,42056.49134335125,0,0
TeleportationWithDemand,request1,nodes$gate_duration,46991.836734693876,99,0.9393939393939394,0.23982058847557647,662384.1818181818,46199.70114917117,0,0
TeleportationWithDemand,request1,nodes$gate_duration,49030.61224489796,99,0.9090909090909091,0.2889427981985323,684763.7373737374,49712.53846654249,0,0
