Aplicación,request,parámetro,valor,Generated entanglements,Mean fidel,Std fidel,Mean time,Std time,EPS
Capacity,request1,nodes$dephase_gate_rate,10.0,907,1.0,0.0,110248.07056229327,10556.752132584834,9070.0
Capacity,request1,nodes$dephase_gate_rate,213.87755102040816,907,0.9966923925027563,0.0574482892298769,110165.38037486219,10825.486695275755,9070.0
Capacity,request1,nodes$dephase_gate_rate,417.7551020408163,909,0.9966996699669967,0.057385194811827536,109933.99339933993,10676.255077100866,9090.0
Capacity,request1,nodes$dephase_gate_rate,621.6326530612245,911,0.991218441273326,0.09334885256354433,109753.01866081229,10367.92545499391,9110.0
Capacity,request1,nodes$dephase_gate_rate,825.5102040816327,908,0.9834801762114538,0.12753365054422933,110099.11894273128,10635.334550872873,9080.0
Capacity,request1,nodes$dephase_gate_rate,1029.387755102041,906,0.9856512141280354,0.11898960344419185,110264.90066225166,10690.855484225585,9060.0
Capacity,request1,nodes$dephase_gate_rate,1233.265306122449,904,0.9922566371681416,0.08770354562976405,110597.34513274336,10261.121974380301,9040.0
Capacity,request1,nodes$dephase_gate_rate,1437.142857142857,910,0.9824175824175824,0.13150010904336654,109752.74725274726,10702.465100198977,9100.0
Capacity,request1,nodes$dephase_gate_rate,1641.0204081632653,910,0.9692307692307692,0.1727868433117228,109818.68131868132,10422.59342508913,9100.0
Capacity,request1,nodes$dephase_gate_rate,1844.8979591836735,912,0.9769736842105263,0.1500693120813285,109555.92105263157,10980.730953773575,9120.0
Capacity,request1,nodes$dephase_gate_rate,2048.775510204082,913,0.9726177437020811,0.163284018219385,109507.11938663745,10710.924684269366,9130.0
Capacity,request1,nodes$dephase_gate_rate,2252.6530612244896,907,0.9636163175303197,0.18734622385349528,110148.84233737596,10487.820450284742,9070.0
Capacity,request1,nodes$dephase_gate_rate,2456.530612244898,910,0.9626373626373627,0.18975309743568355,109851.64835164836,10657.946751748954,9100.0
Capacity,request1,nodes$dephase_gate_rate,2660.408163265306,905,0.9591160220994475,0.198130903411895,110447.51381215469,10395.59114055521,9050.0
Capacity,request1,nodes$dephase_gate_rate,2864.285714285714,909,0.9526952695269527,0.21240674706813092,109933.99339933993,10559.566700534644,9090.0
Capacity,request1,nodes$dephase_gate_rate,3068.1632653061224,912,0.9616228070175439,0.19221054547867478,109555.92105263157,10497.772908254277,9120.0
Capacity,request1,nodes$dephase_gate_rate,3272.0408163265306,909,0.9504950495049505,0.2170392411273178,109917.49174917492,10405.797894688185,9090.0
Capacity,request1,nodes$dephase_gate_rate,3475.918367346939,905,0.958011049723757,0.20067480156702094,110397.79005524862,10622.587991714408,9050.0
Capacity,request1,nodes$dephase_gate_rate,3679.795918367347,912,0.9506578947368421,0.21670014303247254,109605.26315789473,10858.22692328262,9120.0
Capacity,request1,nodes$dephase_gate_rate,3883.673469387755,912,0.9418859649122807,0.23408733051990468,109539.47368421052,10555.72110380246,9120.0
Capacity,request1,nodes$dephase_gate_rate,4087.5510204081634,902,0.9323725055432373,0.2512448978794881,110781.59645232816,10977.424847023125,9020.0
Capacity,request1,nodes$dephase_gate_rate,4291.428571428572,906,0.934878587196468,0.2468762560375721,110331.12582781457,10477.582607388362,9060.0
Capacity,request1,nodes$dephase_gate_rate,4495.306122448979,905,0.932596685082873,0.2508578154514425,110430.93922651933,10737.821548939884,9050.0
Capacity,request1,nodes$dephase_gate_rate,4699.183673469388,906,0.9392935982339956,0.23892287736660517,110298.01324503311,10478.577801091427,9060.0
Capacity,request1,nodes$dephase_gate_rate,4903.061224489796,909,0.9240924092409241,0.26499600245846905,109933.99339933993,10536.073945705948,9090.0
Capacity,request1,nodes$dephase_gate_rate,5106.938775510204,907,0.9228224917309813,0.26702013223115306,110214.99448732084,10697.685792682178,9070.0
Capacity,request1,nodes$dephase_gate_rate,5310.816326530612,912,0.9144736842105263,0.27981675705442194,109621.71052631579,10523.84726637726,9120.0
Capacity,request1,nodes$dephase_gate_rate,5514.693877551021,909,0.9163916391639164,0.27695195232165665,109884.48844884489,10547.400419182191,9090.0
Capacity,request1,nodes$dephase_gate_rate,5718.571428571428,908,0.9251101321585903,0.26335861621589945,110099.11894273128,10635.334550872873,9080.0
Capacity,request1,nodes$dephase_gate_rate,5922.448979591837,908,0.9118942731277533,0.28360481117173897,110082.59911894273,10623.80702511171,9080.0
Capacity,request1,nodes$dephase_gate_rate,6126.326530612245,909,0.9152915291529153,0.27860067214685025,109983.49834983499,10849.12309309094,9090.0
Capacity,request1,nodes$dephase_gate_rate,6330.2040816326535,912,0.9133771929824561,0.28143586332471604,109621.71052631579,10382.080004304711,9120.0
Capacity,request1,nodes$dephase_gate_rate,6534.081632653061,912,0.9100877192982456,0.2862130058588951,109638.15789473684,10606.244257020782,9120.0
Capacity,request1,nodes$dephase_gate_rate,6737.959183673469,912,0.9002192982456141,0.299871827980941,109588.81578947368,10546.057364186277,9120.0
Capacity,request1,nodes$dephase_gate_rate,6941.836734693878,907,0.9106945975744212,0.28534140196820956,110165.38037486219,10640.378388751855,9070.0
Capacity,request1,nodes$dephase_gate_rate,7145.714285714285,911,0.9143798024149287,0.2799560887631582,109720.08781558726,10532.713163553184,9110.0
Capacity,request1,nodes$dephase_gate_rate,7349.591836734694,913,0.91894852135816,0.2730637388249834,109474.26067907996,10732.372589974784,9130.0
Capacity,request1,nodes$dephase_gate_rate,7553.469387755102,909,0.8910891089108911,0.31169887935323753,109966.99669966997,10883.29206382264,9090.0
