Aplicación,request,parámetro,valor,Generated entanglements,Mean fidel,Std fidel,Mean time,Std time,EPS
Capacity,request1,nodes$dephase_gate_rate,10.0,590,1.0,0.0,169237.28813559323,21000.31447985958,5900.0
Capacity,request1,nodes$dephase_gate_rate,213.87755102040816,582,0.9862542955326461,0.11653365852901432,171804.12371134022,21517.541581286587,5820.0
Capacity,request1,nodes$dephase_gate_rate,417.7551020408163,589,0.9762308998302207,0.15245849550976323,169643.4634974533,20956.106027134887,5890.0
Capacity,request1,nodes$dephase_gate_rate,621.6326530612245,592,0.9831081081081081,0.1289754044751481,168783.7837837838,21622.993508404616,5920.0
Capacity,request1,nodes$dephase_gate_rate,825.5102040816327,591,0.9830795262267343,0.1290827829390914,169086.29441624365,20793.846832077128,5910.0
Capacity,request1,nodes$dephase_gate_rate,1029.387755102041,588,0.9778911564625851,0.14716274662158513,170051.02040816325,21482.470544484462,5880.0
Capacity,request1,nodes$dephase_gate_rate,1233.265306122449,588,0.9540816326530612,0.20948628689728432,169846.9387755102,20903.209427689486,5880.0
Capacity,request1,nodes$dephase_gate_rate,1437.142857142857,594,0.9612794612794613,0.19309072044718292,168333.33333333334,21308.383738283454,5940.0
Capacity,request1,nodes$dephase_gate_rate,1641.0204081632653,586,0.9351535836177475,0.24646504641996167,170358.36177474403,21587.616901026304,5860.0
Capacity,request1,nodes$dephase_gate_rate,1844.8979591836735,586,0.9488054607508533,0.22058261557728334,170409.55631399318,20676.66038288415,5860.0
Capacity,request1,nodes$dephase_gate_rate,2048.775510204082,587,0.9250425894378195,0.2635471926551738,170204.4293015332,20883.86007775206,5870.0
Capacity,request1,nodes$dephase_gate_rate,2252.6530612244896,591,0.9357021996615905,0.24549045888167007,169035.53299492385,21406.091870413606,5910.0
Capacity,request1,nodes$dephase_gate_rate,2456.530612244898,592,0.9594594594594594,0.19739002175568302,168733.1081081081,21655.268292201872,5920.0
Capacity,request1,nodes$dephase_gate_rate,2660.408163265306,584,0.910958904109589,0.28504720506331205,171078.76712328766,21457.22046234528,5840.0
Capacity,request1,nodes$dephase_gate_rate,2864.285714285714,585,0.9367521367521368,0.24361654780150094,170820.5128205128,21414.298523262773,5850.0
Capacity,request1,nodes$dephase_gate_rate,3068.1632653061224,585,0.9196581196581196,0.2720543724107888,170666.66666666666,20873.067132236443,5850.0
Capacity,request1,nodes$dephase_gate_rate,3272.0408163265306,587,0.9063032367972743,0.291654916784178,170102.2146507666,21678.4548490723,5870.0
Capacity,request1,nodes$dephase_gate_rate,3475.918367346939,589,0.9117147707979627,0.2839504127013892,169694.3972835314,20551.287739211297,5890.0
Capacity,request1,nodes$dephase_gate_rate,3679.795918367347,589,0.9117147707979627,0.28395041270138915,169643.4634974533,21174.089196230067,5890.0
Capacity,request1,nodes$dephase_gate_rate,3883.673469387755,586,0.8907849829351536,0.3121752710297187,170358.36177474403,22011.059536674173,5860.0
Capacity,request1,nodes$dephase_gate_rate,4087.5510204081634,586,0.8873720136518771,0.3164075941610376,170511.94539249147,20822.67076403602,5860.0
Capacity,request1,nodes$dephase_gate_rate,4291.428571428572,583,0.8713550600343053,0.33509405127560393,171183.5334476844,21252.99097289561,5830.0
Capacity,request1,nodes$dephase_gate_rate,4495.306122448979,586,0.8822525597269625,0.3225841879676838,170460.75085324232,21370.784325408342,5860.0
Capacity,request1,nodes$dephase_gate_rate,4699.183673469388,588,0.8792517006802721,0.32611196420835054,169948.97959183675,21553.723117309473,5880.0
Capacity,request1,nodes$dephase_gate_rate,4903.061224489796,589,0.8862478777589134,0.3177798402786043,169643.4634974533,21174.089196230067,5890.0
Capacity,request1,nodes$dephase_gate_rate,5106.938775510204,587,0.8551959114139693,0.3522033340496341,170153.32197614992,20625.301777589393,5870.0
Capacity,request1,nodes$dephase_gate_rate,5310.816326530612,591,0.8747884940778342,0.3312389392122252,169187.81725888324,21376.771500950214,5910.0
Capacity,request1,nodes$dephase_gate_rate,5514.693877551021,585,0.841025641025641,0.3659650982109296,170717.94871794872,21345.91414251349,5850.0
Capacity,request1,nodes$dephase_gate_rate,5718.571428571428,585,0.8461538461538461,0.3611099853179249,170871.79487179487,21945.42517212295,5850.0
Capacity,request1,nodes$dephase_gate_rate,5922.448979591837,586,0.8549488054607508,0.35245330287567506,170358.36177474403,21300.645792036074,5860.0
Capacity,request1,nodes$dephase_gate_rate,6126.326530612245,584,0.8595890410958904,0.3477107228359016,171027.39726027398,20540.866752312406,5840.0
Capacity,request1,nodes$dephase_gate_rate,6330.2040816326535,588,0.8520408163265306,0.355361828275892,169846.9387755102,21122.10886599256,5880.0
Capacity,request1,nodes$dephase_gate_rate,6534.081632653061,586,0.8156996587030717,0.3880601837629126,170409.55631399318,21118.376430272034,5860.0
Capacity,request1,nodes$dephase_gate_rate,6737.959183673469,588,0.8367346938775511,0.36992225025050895,170051.02040816325,21695.526249981525,5880.0
Capacity,request1,nodes$dephase_gate_rate,6941.836734693878,580,0.8155172413793104,0.3882122009945237,172068.9655172414,21494.958294647116,5800.0
Capacity,request1,nodes$dephase_gate_rate,7145.714285714285,589,0.831918505942275,0.3742564785207743,169694.3972835314,21066.18140927368,5890.0
Capacity,request1,nodes$dephase_gate_rate,7349.591836734694,586,0.8156996587030717,0.3880601837629127,170511.94539249147,22112.62610211767,5860.0
Capacity,request1,nodes$dephase_gate_rate,7553.469387755102,580,0.8068965517241379,0.39507419078316997,172120.6896551724,21453.71173864,5800.0
Capacity,request1,nodes$dephase_gate_rate,7757.34693877551,587,0.7887563884156729,0.4085389604313733,170255.53662691652,21499.33205986674,5870.0
Capacity,request1,nodes$dephase_gate_rate,7961.224489795918,586,0.7935153583617748,0.4051281497408387,170409.55631399318,19290.921937650248,5860.0
