Aplicación,request,parámetro,valor,Teleported states,Mean fidel,Std fidel,Mean time,Std time,Queue size,Discarded qubits
TeleportationWithDemand,request1,requests$demand_rate,1000.0,99,0.9090909090909091,0.2889427981985323,529185.8585858586,2153.7347770795877,0,0
TeleportationWithDemand,request1,requests$demand_rate,1040.8163265306123,103,0.912621359223301,0.2837700020247292,527673.786407767,4129.3060985947595,0,0
TeleportationWithDemand,request1,requests$demand_rate,1081.6326530612246,107,0.9158878504672897,0.27886208558268477,529110.2803738317,4058.439484915894,0,0
TeleportationWithDemand,request1,requests$demand_rate,1122.4489795918366,111,0.918918918918919,0.27419751126564795,529510.8108108108,3796.0829416973625,0,0
TeleportationWithDemand,request1,requests$demand_rate,1163.265306122449,115,0.9478260869565217,0.22335080820097217,528929.5652173914,4939.137894677492,0,0
TeleportationWithDemand,request1,requests$demand_rate,1204.0816326530612,119,0.957983193277311,0.20147582532332906,529090.756302521,4073.5191048693223,0,0
TeleportationWithDemand,request1,requests$demand_rate,1244.8979591836735,123,0.943089430894309,0.23261919236784864,529023.5772357724,4083.0935174527203,0,0
TeleportationWithDemand,request1,requests$demand_rate,1285.7142857142858,127,0.9448818897637795,0.22911446554115683,529029.1338582677,4061.2788320652185,0,0
TeleportationWithDemand,request1,requests$demand_rate,1326.5306122448978,131,0.9618320610687023,0.19233705001984072,529349.6183206107,4022.310358790207,0,0
TeleportationWithDemand,request1,requests$demand_rate,1367.3469387755101,136,0.9632352941176471,0.18887927695651674,527495.5882352941,4258.896877640862,0,0
TeleportationWithDemand,request1,requests$demand_rate,1408.1632653061224,140,0.9071428571428571,0.2912742674344506,527508.5714285715,4169.11366310256,0,0
TeleportationWithDemand,request1,requests$demand_rate,1448.9795918367347,144,0.9444444444444444,0.22986094238920374,527577.7777777778,4287.050666694227,0,0
TeleportationWithDemand,request1,requests$demand_rate,1489.795918367347,148,0.9324324324324325,0.2518546757884237,529001.3513513514,4010.445315774108,0,0
TeleportationWithDemand,request1,requests$demand_rate,1530.612244897959,152,0.9473684210526315,0.2240350517812547,530032.8947368421,3903.026102533547,0,0
