Teleportation,Request,Element$Parameter,Value,Teleported states,Mean fidelity,STD fidelity,Mean time,STD time
LogicalTeleportation,request1,links$endNode_distance,1.0,7402,0.9999999999999996,2.2205960540502986e-16,135090.0,0.0
LogicalTeleportation,request1,links$endNode_distance,3.020408163265306,2451,0.9999999999999992,1.1104495776373353e-16,407845.1020404624,2.980064797204828e-07
LogicalTeleportation,request1,links$endNode_distance,5.040816326530612,1469,0.9999999999999993,0.0,680600.2040812685,6.893528789227764e-07
LogicalTeleportation,request1,links$endNode_distance,7.061224489795918,1048,0.9999999999999996,2.22150618110792e-16,953355.306121731,8.02324734496106e-07
LogicalTeleportation,request1,links$endNode_distance,9.081632653061224,815,0.9999999999999994,1.1109047704828487e-16,1226110.408163688,6.951550484650711e-07
LogicalTeleportation,request1,links$endNode_distance,11.102040816326529,667,0.9999999999999993,0.0,1498865.5102045008,3.007252711296227e-07
LogicalTeleportation,request1,links$endNode_distance,13.122448979591836,564,0.9999999999999992,1.1112085756622163e-16,1771620.6122449613,1.3937488846579408e-08
LogicalTeleportation,request1,links$endNode_distance,15.142857142857142,489,0.9999999999999994,1.1113599660645338e-16,2044375.7142854156,2.8848514465826003e-07
LogicalTeleportation,request1,links$endNode_distance,17.163265306122447,431,0.9999999999999994,1.1115132319456097e-16,2317130.816326199,6.777358268036719e-07
LogicalTeleportation,request1,links$endNode_distance,19.183673469387752,386,0.9999999999999994,1.111663937658054e-16,2589885.9183666823,8.012962241981153e-07
LogicalTeleportation,request1,links$endNode_distance,21.204081632653057,349,0.9999999999999993,0.0,2862641.020408656,6.980322152544871e-07
LogicalTeleportation,request1,links$endNode_distance,23.224489795918366,318,0.9999999999999993,0.0,3135396.1224494386,3.3824791172930637e-07
LogicalTeleportation,request1,links$endNode_distance,25.24489795918367,293,0.9999999999999992,1.1121224666035194e-16,3408151.224489918,3.931914377405293e-08
LogicalTeleportation,request1,links$endNode_distance,27.265306122448976,271,0.9999999999999993,0.0,3680906.3265302666,1.3099947026393097e-07
LogicalTeleportation,request1,links$endNode_distance,29.285714285714285,252,0.9999999999999993,0.0,3953661.428571156,6.779533021006355e-07
LogicalTeleportation,request1,links$endNode_distance,31.30612244897959,236,0.9999999999999996,2.2251653873038936e-16,4226416.5306116305,7.953515298654085e-07
LogicalTeleportation,request1,links$endNode_distance,33.326530612244895,222,0.9999999999999994,1.1127320064116672e-16,4499171.632653519,7.678701030897389e-07
LogicalTeleportation,request1,links$endNode_distance,35.3469387755102,209,0.9999999999999994,1.1128886299618004e-16,4771926.734694399,3.461089371190986e-07
LogicalTeleportation,request1,links$endNode_distance,37.367346938775505,198,0.9999999999999994,1.113037282688031e-16,5044681.836734882,4.278509958617363e-08
LogicalTeleportation,request1,links$endNode_distance,39.38775510204081,188,0.9999999999999994,1.113187577364802e-16,5317436.9387752265,1.2398621456247074e-07
LogicalTeleportation,request1,links$endNode_distance,41.408163265306115,178,0.9999999999999993,0.0,5590192.040816108,6.750533597311618e-07
LogicalTeleportation,request1,links$endNode_distance,43.42857142857142,170,0.9999999999999993,0.0,5862947.142856559,7.766040935447021e-07
LogicalTeleportation,request1,links$endNode_distance,45.44897959183673,162,0.9999999999999993,0.0,6135702.2448984785,7.755288074674991e-07
LogicalTeleportation,request1,links$endNode_distance,47.469387755102034,156,0.9999999999999992,1.1137986313849457e-16,6408457.346939366,3.459456187840531e-07
LogicalTeleportation,request1,links$endNode_distance,49.48979591836734,149,0.9999999999999992,1.113967463669065e-16,6681212.448979817,1.0705075706790871e-07
LogicalTeleportation,request1,links$endNode_distance,51.51020408163265,143,0.9999999999999992,1.114125402297473e-16,6953967.551020182,1.0716073681034002e-07
LogicalTeleportation,request1,links$endNode_distance,53.53061224489795,138,0.9999999999999992,1.1142675663428012e-16,7226722.653060632,3.4411136229578607e-07
LogicalTeleportation,request1,links$endNode_distance,55.55102040816326,133,0.9999999999999991,2.228840960286252e-16,7499477.755101512,7.77498323678426e-07
LogicalTeleportation,request1,links$endNode_distance,57.57142857142857,128,0.9999999999999996,2.2291708217571177e-16,7772232.857143449,7.76564475707995e-07
LogicalTeleportation,request1,links$endNode_distance,59.59183673469387,124,0.9999999999999996,2.229453980960769e-16,8044987.959183902,6.801511329197223e-07
LogicalTeleportation,request1,links$endNode_distance,61.61224489795918,120,0.9999999999999996,2.2297561364112263e-16,8317743.061224776,1.2095110950525357e-07
LogicalTeleportation,request1,links$endNode_distance,63.63265306122448,116,0.9999999999999996,2.230079266060979e-16,8590498.163265117,3.708569953448732e-08
LogicalTeleportation,request1,links$endNode_distance,65.65306122448979,112,0.9999999999999994,1.115212816169381e-16,8863253.26530559,3.411271775611435e-07
LogicalTeleportation,request1,links$endNode_distance,67.67346938775509,109,0.9999999999999994,1.1153511028356912e-16,9136008.367346464,7.757278084333667e-07
LogicalTeleportation,request1,links$endNode_distance,69.6938775510204,106,0.9999999999999994,1.1154972729566038e-16,9408763.469388397,7.98850306224118e-07
LogicalTeleportation,request1,links$endNode_distance,71.71428571428571,103,0.9999999999999994,1.1156520204461403e-16,9681518.571428863,6.831902240161035e-07
LogicalTeleportation,request1,links$endNode_distance,73.73469387755101,100,0.9999999999999994,1.1158161231197418e-16,9954273.67346974,1.1899979307109657e-07
LogicalTeleportation,request1,links$endNode_distance,75.75510204081633,97,0.9999999999999994,1.1159904557703048e-16,10227028.775510078,3.3773019194723574e-08
LogicalTeleportation,request1,links$endNode_distance,77.77551020408163,95,0.9999999999999994,1.1161128432747327e-16,10499783.877550542,3.3049783636571117e-07
LogicalTeleportation,request1,links$endNode_distance,79.79591836734693,92,0.9999999999999993,0.0,10772538.979591314,7.027731018303928e-07
LogicalTeleportation,request1,links$endNode_distance,81.81632653061223,90,0.9999999999999993,0.0,11045294.081633361,8.0681281284598e-07
LogicalTeleportation,request1,links$endNode_distance,83.83673469387755,88,0.9999999999999993,0.0,11318049.183673833,6.833557767212992e-07
LogicalTeleportation,request1,links$endNode_distance,85.85714285714285,86,0.9999999999999993,0.0,11590804.2857146,2.8230836490455663e-07
LogicalTeleportation,request1,links$endNode_distance,87.87755102040815,84,0.9999999999999993,0.0,11863559.387755036,1.8286730858453214e-09
LogicalTeleportation,request1,links$endNode_distance,89.89795918367346,82,0.9999999999999993,0.0,12136314.489795478,2.87612504697674e-07
LogicalTeleportation,request1,links$endNode_distance,91.91836734693877,80,0.9999999999999993,0.0,12409069.591836268,7.003320012703806e-07
LogicalTeleportation,request1,links$endNode_distance,93.93877551020407,78,0.9999999999999992,1.1174090091885446e-16,12681824.69387833,8.048799389485019e-07
LogicalTeleportation,request1,links$endNode_distance,95.95918367346938,77,0.9999999999999992,1.1175032536123776e-16,12954579.795918778,6.987053509555182e-07
LogicalTeleportation,request1,links$endNode_distance,97.97959183673468,75,0.9999999999999992,1.117699358422804e-16,13227334.897959562,2.8565785082361266e-07
LogicalTeleportation,request1,links$endNode_distance,99.99999999999999,74,0.9999999999999992,1.117801426763131e-16,13500090.0,8.039668648744274e-09
