Aplicación,request,parámetro,valor,Generated entanglements,Mean fidel,Std fidel,Mean time,Std time,EPS
Capacity,request1,links$lastNode_distance,9.0,22222,1.0,0.0,45000.0,0.0,22222.0
Capacity,request1,links$lastNode_distance,12.36734693877551,16171,1.0,0.0,61836.73469388439,1.7966672073573115e-09,16171.0
Capacity,request1,links$lastNode_distance,15.73469387755102,12710,0.9999213217938631,0.008870073626351704,78673.46938776781,4.949493099859851e-09,12710.0
Capacity,request1,links$lastNode_distance,19.10204081632653,10470,0.9995224450811844,0.02184885476238795,95510.20408164826,1.1116086920377276e-08,10470.0
Capacity,request1,links$lastNode_distance,22.46938775510204,8900,0.9991011235955056,0.029969473529036197,112346.93877553174,1.3028112310463696e-08,8900.0
Capacity,request1,links$lastNode_distance,25.836734693877553,7740,0.9979328165374677,0.04542220575193843,129183.67346940022,2.511554806368443e-08,7740.0
Capacity,request1,links$lastNode_distance,29.20408163265306,6848,0.9951810747663551,0.06925607267700064,146020.40816328375,2.5875741687548353e-08,6848.0
Capacity,request1,links$lastNode_distance,32.57142857142857,6140,0.99185667752443,0.08987949967958289,162857.1428571643,2.87016293205951e-08,6140.0
Capacity,request1,links$lastNode_distance,35.93877551020408,5565,0.9915543575920934,0.09151949858322707,179693.87755104786,2.977977782792545e-08,5565.0
Capacity,request1,links$lastNode_distance,39.30612244897959,5088,0.9821147798742138,0.13254731990006396,196530.6122448749,2.9483778199470293e-08,5088.0
Capacity,request1,links$lastNode_distance,42.673469387755105,4686,0.9795134443021767,0.14167265066794105,213367.34693875833,2.850519498134246e-08,4686.0
Capacity,request1,links$lastNode_distance,46.04081632653061,4343,0.970987796454064,0.16786001161422456,230204.0816326388,2.5705800768723677e-08,4343.0
Capacity,request1,links$lastNode_distance,49.40816326530612,4047,0.9624413145539906,0.1901498484280067,247040.81632652227,2.5082171049831866e-08,4047.0
Capacity,request1,links$lastNode_distance,52.775510204081634,3789,0.9572446555819477,0.2023317310996662,263877.55102039076,1.2373236688569632e-08,3789.0
Capacity,request1,links$lastNode_distance,56.14285714285714,3562,0.9480628860190904,0.22193124532279906,280714.2857142743,1.0582936318254239e-08,3562.0
Capacity,request1,links$lastNode_distance,59.51020408163265,3360,0.9401785714285714,0.23719099724588877,297551.0204081548,3.947360379649294e-09,3360.0
Capacity,request1,links$lastNode_distance,62.87755102040816,3180,0.9345911949685535,0.24728469974578055,314387.7551020384,6.127228591543188e-10,3180.0
Capacity,request1,links$lastNode_distance,66.24489795918367,3019,0.9277906591586618,0.2588770952841385,331224.48979592294,1.8284107312799392e-09,3019.0
Capacity,request1,links$lastNode_distance,69.61224489795919,2873,0.9195962408632092,0.27196459223354963,348061.22448980657,4.48766482419407e-09,2873.0
Capacity,request1,links$lastNode_distance,72.9795918367347,2740,0.9094890510948905,0.28696475624980816,364897.9591836872,1.0861734999951893e-08,2740.0
Capacity,request1,links$lastNode_distance,76.34693877551021,2619,0.9179075983199695,0.2745578664259064,381734.6938775709,1.2537396248966358e-08,2619.0
Capacity,request1,links$lastNode_distance,79.71428571428571,2508,0.8991228070175439,0.30122610114487886,398571.42857143964,2.5310594440795718e-08,2508.0
Capacity,request1,links$lastNode_distance,83.08163265306122,2407,0.9007062733693394,0.2991181270360583,415408.1632653233,2.599632232389702e-08,2407.0
Capacity,request1,links$lastNode_distance,86.44897959183673,2313,0.8927799394725465,0.3094597263411816,432244.8979592041,2.8847214657529613e-08,2313.0
Capacity,request1,links$lastNode_distance,89.81632653061224,2226,0.8742138364779874,0.33168271979854513,449081.6326530879,2.97970199195394e-08,2226.0
Capacity,request1,links$lastNode_distance,93.18367346938776,2146,0.8709226467847158,0.3353636812114502,465918.36734691204,2.9796882943379177e-08,2146.0
Capacity,request1,links$lastNode_distance,96.55102040816327,2071,0.8686624818928054,0.3378506909984598,482755.10204079567,2.8856122247718186e-08,2071.0
Capacity,request1,links$lastNode_distance,99.91836734693878,2001,0.8525737131434283,0.35461898241444395,499591.83673467627,2.6001404218828648e-08,2001.0
Capacity,request1,links$lastNode_distance,103.28571428571428,1936,0.8543388429752066,0.35285733164497446,516428.57142855995,2.539791351516369e-08,1936.0
Capacity,request1,links$lastNode_distance,106.65306122448979,1875,0.8490666666666666,0.35807938599391836,533265.3061224286,1.2239638888739134e-08,1875.0
Capacity,request1,links$lastNode_distance,110.0204081632653,1817,0.8497523390203633,0.3574123753189653,550102.0408163124,1.069460251901432e-08,1817.0
Capacity,request1,links$lastNode_distance,113.38775510204081,1763,0.8304027226318775,0.37538509479066157,566938.7755101931,3.977014616849511e-09,1763.0
Capacity,request1,links$lastNode_distance,116.75510204081633,1712,0.8317757009345794,0.37417464353259733,583775.5102040769,1.0000256772321818e-09,1712.0
Capacity,request1,links$lastNode_distance,120.12244897959184,1664,0.8227163461538461,0.38202338328046287,600612.2448979616,1.5066016849974785e-09,1664.0
Capacity,request1,links$lastNode_distance,123.48979591836735,1619,0.8214947498455837,0.3830558143736331,617448.9795918454,3.8321887833595065e-09,1619.0
Capacity,request1,links$lastNode_distance,126.85714285714286,1576,0.8071065989847716,0.39469530630591215,634285.7142857262,1.0542407521110659e-08,1576.0
Capacity,request1,links$lastNode_distance,130.22448979591837,1535,0.8052117263843648,0.3961666926472418,651122.4489796101,1.1972687198598406e-08,1535.0
Capacity,request1,links$lastNode_distance,133.59183673469386,1497,0.7929191716766867,0.4053493766191292,667959.183673479,2.5474641045988985e-08,1497.0
Capacity,request1,links$lastNode_distance,136.9591836734694,1460,0.786986301369863,0.40957754169813426,684795.9183673629,2.6066387056344457e-08,1460.0
Capacity,request1,links$lastNode_distance,140.3265306122449,1425,0.8035087719298246,0.3974837076552572,701632.6530612438,2.8941211062170768e-08,1425.0
